index,expression,tag,correction,Erreur,correction_finale
0,radio wale sport,ORG,,,ORG
0,bbc sound,ORG,,,ORG
0,bbccom,PRODUCT,,,PRODUCT
0,bbc,ORG,,,ORG
0,bbc podcasts radio 4,ORG,,,ORG
0,the world service,ORG,,,ORG
1,nicholas watt,PERSON,,,PERSON
1,bbc newsnight,ORG,,,ORG
1,nick,PERSON,,,PERSON
1,bbc newsnight,ORG,,,ORG
1,bbc,ORG,,,ORG
2,bbc,ORG,,,ORG
2,bbccom,ORG,PRODUCT,,PRODUCT
2,bbc,ORG,,,ORG
2,bbc podcasts radio 4,ORG,,,ORG
2,the world service,ORG,,,ORG
2,uk,GPE,,,GPE
3,b corp,ORG,,,ORG
5,jess fishlock,PERSON,,,PERSON
5,wale,ORG,NULL,,NULL
5,australia,GPE,,,GPE
5,wale voir,PERSON,NULL,,NULL
6,mexican,NORP,,,NORP
6,hilario hernández,PERSON,,,PERSON
6,vatican,FAC,GPE,,GPE
6,benedict xvi,PERSON,,,PERSON
6,hernández,PERSON,,,PERSON
6,mexican,NORP,,,NORP
6,hernándezs,PERSON,,,PERSON
6,metepec,GPE,,,GPE
6,mexico city,GPE,,,GPE
6,biblical,NORP,NULL,,NULL
6,adam,PERSON,,,PERSON
6,eve,PERSON,,,PERSON
6,carolina ramírez,PERSON,,,PERSON
6,metepecs clay museum,ORG,,,ORG
6,mexico,GPE,,,GPE
6,adam,PERSON,,,PERSON
6,eve,PERSON,,,PERSON
6,mexicos day of the dead,EVENT,,,EVENT
6,xoloitzcuintle,PERSON,NULL,,NULL
6,nahua,NORP,NULL,,NULL
6,ramírez,PERSON,,,PERSON
6,hernándezs,PERSON,,,PERSON
6,metepec,GPE,,,GPE
6,felipe,PERSON,,,PERSON
6,hilario,PERSON,,,PERSON
6,hilario,PERSON,,,PERSON
6,luis,PERSON,,,PERSON
6,cecilio sánchez,PERSON,,,PERSON
6,hilario,PERSON,,,PERSON
6,mexico,GPE,,,GPE
6,metepecs,PERSON,,,PERSON
6,spanish,NORP,,,NORP
6,ramírez,PERSON,,,PERSON
6,metepec,PERSON,,,PERSON
6,tlanchana,PERSON,,,PERSON
6,halfserpent,NORP,NULL,,NULL
6,ramírez,PERSON,,,PERSON
6,tlanchana,NORP,,,NORP
6,hernándezs,PERSON,,,PERSON
6,catholic,NORP,,,NORP
6,hilario,PERSON,,,PERSON
6,vatican,FAC,GPE,,GPE
6,francis,PERSON,,,PERSON
6,mexico,GPE,,,GPE
6,hilario,PERSON,,,PERSON
6,francis,PERSON,,,PERSON
6,benedict,PERSON,,,PERSON
6,chapel,FAC,NULL,,NULL
6,mexicos presidential palace,FAC,,,FAC
6,god,PERSON,,,PERSON
6,aps,ORG,,,ORG
6,lilly endowment inc,ORG,,,ORG
6,ap,ORG,,,ORG
6,filipino,NORP,,,NORP
6,us,GPE,,,GPE
6,mexico,GPE,,,GPE
6,taylor swift,PERSON,,,PERSON
6,easter egg,EVENT,,,EVENT
6,sea otter,LOC,NULL,,NULL
6,gaza,GPE,,,GPE
6,ceasefire,EVENT,,,EVENT
6,rachel reeves,PERSON,,,PERSON
6,motability,ORG,,,ORG
6,london uk,GPE,,,GPE
7,joseph parker,PERSON,,,PERSON
7,fabio wardley,PERSON,,,PERSON
7,oleksandr usyk,PERSON,,,PERSON
7,the o2 arena,FAC,,,FAC
7,london,GPE,,,GPE
7,parker,PERSON,,,PERSON
7,wbo,ORG,,,ORG
7,wardley,PERSON,,,PERSON
7,new zealand,GPE,,,GPE
7,parker,PERSON,,,PERSON
7,usyk,PERSON,,,PERSON
7,ukrainian,NORP,,,NORP
7,parker,PERSON,,,PERSON
7,kiwi,NORP,,,NORP
7,ipswich,NORP,GPE,,GPE
7,wardley,PERSON,,,PERSON
7,parker,PERSON,,,PERSON
7,the english capital,GPE,,,GPE
7,parker,PERSON,,,PERSON
7,martin bakole,PERSON,,,PERSON
7,daniel dubois,PERSON,,,PERSON
7,parker,PERSON,,,PERSON
7,ibf,ORG,,,ORG
7,wardley,PERSON,,,PERSON
7,justis huni,PERSON,,,PERSON
7,the ipswich town fc stadium,FAC,,,FAC
7,wardley,PERSON,,,PERSON
7,oneshot,PERSON,NULL,,NULL
7,usyk,PERSON,,,PERSON
7,moses itauma,PERSON,,,PERSON
7,parker,PERSON,,,PERSON
7,wardley,PERSON,,,PERSON
7,the o2 arena,FAC,,,FAC
7,london,GPE,,,GPE
7,parker,PERSON,,,PERSON
7,wardley,PERSON,,,PERSON
7,dazn payperview,ORG,,,ORG
7,2499,PRODUCT,NULL,,NULL
7,payperview,ORG,,,ORG
7,dazn,ORG,,,ORG
7,parker,PERSON,,,PERSON
7,wardley,PERSON,,,PERSON
7,betway,ORG,,,ORG
7,c,ORG,NULL,,NULL
7,joseph parker,PERSON,,,PERSON
7,fabio wardley,PERSON,,,PERSON
7,wbo,ORG,,,ORG
7,lewis edmondson,PERSON,,,PERSON
7,ezra taylor,PERSON,,,PERSON
7,juergen uldedaj,PERSON,,,PERSON
7,rolly lambert fogoum,PERSON,,,PERSON
7,danny quartermaine,PERSON,,,PERSON
7,royston,PERSON,,,PERSON
7,barneysmith,PERSON,,,PERSON
7,mitchell smith,PERSON,,,PERSON
7,arnie dawson,PERSON,,,PERSON
7,independent,ORG,,,ORG
7,joseph parker,PERSON,,,PERSON
